gene_id,sampleA,sampleB,baseMeanA,baseMeanB,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
LOC116947664,S,C,5294.37826,1306.4374,3300.40783,2.01893888,0.10905445,18.5131273,1.62E-76,1.45E-72
LOC116938799,S,C,437.260467,43.0873428,240.173905,3.3415639,0.19972734,16.7306286,7.84E-63,3.52E-59
DUSP10,S,C,440.50473,46.8938107,243.69927,3.22997172,0.19553378,16.5187404,2.69E-61,8.06E-58
LOC116948823,S,C,639.965612,114.856519,377.411066,2.47724272,0.157961,15.6826222,1.99E-55,4.47E-52
LOC116937253,S,C,1245.87795,312.490659,779.184302,1.99493201,0.12759969,15.6343009,4.25E-55,7.64E-52
LOC116940673,S,C,410.278568,57.3824079,233.830488,2.83575121,0.19183918,14.7819189,1.92E-49,2.87E-46
LOC116946540,S,C,415.148558,90.0622333,252.605396,2.20629745,0.1636743,13.4798039,2.06E-41,2.64E-38
LOC116948638,S,C,457.276322,109.977726,283.627024,2.0567646,0.16773773,12.261789,1.45E-34,1.63E-31
LOC103091743,S,C,332.362948,77.3735224,204.868235,2.10288496,0.18650777,11.275053,1.74E-29,1.74E-26
LOC116943350,S,C,169.464596,31.0927164,100.278656,2.44654481,0.25191911,9.71162861,2.69E-22,2.38E-19
LOC116951175,S,C,317.706147,99.407903,208.557025,1.67629099,0.17274902,9.70362097,2.91E-22,2.38E-19
ANKRD10,S,C,291.238128,86.4590164,188.848572,1.75169398,0.1809325,9.68147791,3.61E-22,2.71E-19
SOX2,S,C,125.749591,20.4055297,73.0775601,2.62163226,0.27377524,9.575856,1.01E-21,6.98E-19
SNRNP70,S,C,472.48618,1213.64961,843.067894,-1.3622482,0.14657357,-9.2939553,1.49E-20,9.54E-18
LOC116952338,S,C,694.894134,276.268304,485.581219,1.3300482,0.149462,8.89890544,5.64E-19,3.38E-16
LOC116947619,S,C,1549.77413,722.327169,1136.05065,1.10131068,0.12590873,8.74689691,2.19E-18,1.18E-15
LOC116939548,S,C,314.785686,91.1143633,202.950025,1.78986734,0.20467288,8.74501456,2.23E-18,1.18E-15
LOC116939547,S,C,1193.21933,540.512552,866.865939,1.14207742,0.13211954,8.64427325,5.41E-18,2.70E-15
HPS1,S,C,275.782408,95.1119535,185.447181,1.53582237,0.17792445,8.63187912,6.04E-18,2.85E-15
unassigned_gene_5,S,C,4767.14233,2170.52951,3468.83592,1.13492389,0.13345287,8.5043051,1.83E-17,8.21E-15
LOC116947893,S,C,40.0847669,164.186917,102.135842,-2.0270624,0.24616651,-8.2345171,1.80E-16,7.71E-14
LOC116942714,S,C,122.978994,24.7213235,73.8501587,2.32029422,0.28360039,8.18156216,2.80E-16,1.14E-13
CITED1,S,C,250.342666,86.8543398,168.598503,1.52512302,0.1886328,8.08514224,6.21E-16,2.43E-13
LOC116937934,S,C,856.626036,284.866165,570.746101,1.587068,0.20053158,7.9143047,2.49E-15,9.31E-13
