gene_id,sampleA,sampleB,baseMeanA,baseMeanB,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
LOC116947664,S,C,5294.378255,1306.437398,3300.407827,2.018938883,0.109054448,18.51312727,1.62E-76,1.45E-72
LOC116938799,S,C,437.2604673,43.08734283,240.1739051,3.341563897,0.199727337,16.73062859,7.84E-63,3.52E-59
DUSP10,S,C,440.5047301,46.89381067,243.6992704,3.229971715,0.195533778,16.51874037,2.69E-61,8.06E-58
LOC116948823,S,C,639.9656122,114.856519,377.4110656,2.477242722,0.157961002,15.68262218,1.99E-55,4.47E-52
LOC116937253,S,C,1245.877945,312.4906589,779.184302,1.994932006,0.127599694,15.63430089,4.25E-55,7.64E-52
LOC116940673,S,C,410.2785678,57.38240785,233.8304878,2.835751212,0.191839181,14.78191891,1.92E-49,2.87E-46
LOC116946540,S,C,415.1485581,90.06223334,252.6053957,2.206297448,0.163674299,13.47980389,2.06E-41,2.64E-38
LOC116948638,S,C,457.2763218,109.9777262,283.627024,2.056764598,0.167737726,12.26178897,1.45E-34,1.63E-31
LOC103091743,S,C,332.3629479,77.37352242,204.8682351,2.102884956,0.186507766,11.27505303,1.74E-29,1.74E-26
LOC116943350,S,C,169.4645961,31.09271638,100.2786562,2.446544813,0.251919108,9.711628614,2.69E-22,2.38E-19
LOC116951175,S,C,317.7061467,99.40790302,208.5570249,1.67629099,0.172749018,9.703620966,2.91E-22,2.38E-19
ANKRD10,S,C,291.2381282,86.45901643,188.8485723,1.751693975,0.180932497,9.681477911,3.61E-22,2.71E-19
SOX2,S,C,125.7495905,20.40552968,73.07756009,2.621632257,0.273775238,9.575855999,1.01E-21,6.98E-19
SNRNP70,S,C,472.4861803,1213.649608,843.0678942,-1.362248219,0.146573571,-9.293955294,1.49E-20,9.54E-18
LOC116952338,S,C,694.8941343,276.2683039,485.5812191,1.330048198,0.149461999,8.898905437,5.64E-19,3.38E-16
LOC116947619,S,C,1549.774131,722.3271693,1136.05065,1.101310676,0.125908729,8.746896907,2.19E-18,1.18E-15
LOC116939548,S,C,314.7856857,91.11436327,202.9500245,1.78986734,0.204672883,8.745014562,2.23E-18,1.18E-15
LOC116939547,S,C,1193.219326,540.5125515,866.8659386,1.142077419,0.132119542,8.644273251,5.41E-18,2.70E-15
HPS1,S,C,275.7824084,95.11195352,185.447181,1.535822371,0.177924453,8.631879122,6.04E-18,2.85E-15
unassigned_gene_5,S,C,4767.142332,2170.529505,3468.835919,1.134923885,0.133452866,8.504305095,1.83E-17,8.21E-15
LOC116947893,S,C,40.08476693,164.1869171,102.135842,-2.027062362,0.246166512,-8.234517124,1.80E-16,7.71E-14
LOC116942714,S,C,122.978994,24.72132352,73.85015874,2.320294219,0.28360039,8.181562158,2.80E-16,1.14E-13
CITED1,S,C,250.3426664,86.85433975,168.5985031,1.525123024,0.188632801,8.085142242,6.21E-16,2.43E-13
LOC116937934,S,C,856.626036,284.866165,570.7461005,1.587068002,0.200531577,7.914304703,2.49E-15,9.31E-13
GLUL,S,C,370.4110591,168.3107918,269.3609254,1.137094292,0.156115154,7.283689402,3.25E-13,1.17E-10
LOC116951653,S,C,359.9176451,699.3467488,529.6321969,-0.958646158,0.131717881,-7.278025963,3.39E-13,1.17E-10
LOC116947029,S,C,642.303917,340.3466651,491.3252911,0.916364931,0.130071481,7.045087227,1.85E-12,6.17E-10
HSP90B1,S,C,2211.794889,1320.395869,1766.095379,0.744334632,0.105928529,7.026762643,2.11E-12,6.78E-10
LOC116951551,S,C,260.9953981,679.2810785,470.1382383,-1.377835864,0.196603527,-7.008195053,2.41E-12,7.48E-10
GM2A,S,C,345.6390807,155.5051193,250.5721,1.150832262,0.165456836,6.955483325,3.51E-12,1.02E-09
LOC116957872,S,C,231.9023248,93.69331678,162.7978208,1.30637173,0.187827224,6.955177754,3.52E-12,1.02E-09
IQCC,S,C,378.1073012,179.947526,279.0274136,1.069603098,0.160456152,6.666014908,2.63E-11,7.38E-09
LOC103091821,S,C,612.1282891,307.5035838,459.8159365,0.991483491,0.150800214,6.574814884,4.87E-11,1.33E-08
LOC116947474,S,C,750.7838422,410.2069704,580.4954063,0.871052141,0.133484943,6.525471136,6.78E-11,1.79E-08
LOC116951657,S,C,410.278305,955.0172381,682.6477715,-1.218459275,0.187058131,-6.513800111,7.33E-11,1.88E-08
LOC103091815,S,C,82.75648485,211.7996757,147.2780803,-1.350739425,0.207546006,-6.508144628,7.61E-11,1.90E-08
LOC116950571,S,C,148.2486354,320.7928202,234.5207278,-1.111693511,0.172398215,-6.448404994,1.13E-10,2.75E-08
LOC116951848,S,C,613.6403036,1096.389885,855.0150944,-0.83751332,0.135198083,-6.194712974,5.84E-10,1.38E-07
LOC116953249,S,C,522.080885,944.8034757,733.4421804,-0.855448114,0.139006813,-6.154001358,7.56E-10,1.74E-07
LOC116947511,S,C,383.5845437,670.6497255,527.1171346,-0.804612194,0.132387676,-6.077697101,1.22E-09,2.74E-07
LOC116947610,S,C,19.7393145,77.00686242,48.37308846,-1.951388104,0.324438883,-6.014655474,1.80E-09,3.95E-07
LOC116957692,S,C,23.21871811,88.67562071,55.94716941,-1.926144926,0.325938743,-5.909530441,3.43E-09,7.34E-07
LOC116947715,S,C,72.5445275,20.49537726,46.51995238,1.826545686,0.309902793,5.893931028,3.77E-09,7.88E-07
LOC116958694,S,C,38.79872032,3.897820495,21.34827041,3.323950658,0.564282863,5.890575234,3.85E-09,1
LOC116950486,S,C,324.6597876,577.9933417,451.3265646,-0.832133651,0.141349792,-5.88705254,3.93E-09,8.03E-07
LOC116951444,S,C,80.83729747,183.1862892,132.0117934,-1.178334353,0.203549112,-5.788943731,7.08E-09,1.41E-06
LOC116944959,S,C,74.77203251,19.48910248,47.13056749,1.945923606,0.33853536,5.748066043,9.03E-09,1.76E-06
LOC116955484,S,C,286.0411923,521.1935219,403.6173571,-0.864607264,0.152888276,-5.655157386,1.56E-08,2.98E-06
LOC116951469,S,C,77.62807001,204.9654113,141.2967406,-1.392804099,0.247052749,-5.637679023,1.72E-08,3.23E-06
LOC116940359,S,C,1678.986714,840.545208,1259.765961,0.997575198,0.177512017,5.6197615,1.91E-08,3.51E-06
LENG8,S,C,1727.25072,2736.027509,2231.639115,-0.663624498,0.118628417,-5.594144452,2.22E-08,3.98E-06
GPATCH2L,S,C,266.7134226,483.0329384,374.8731805,-0.856286082,0.154773457,-5.532512485,3.16E-08,5.56E-06
LOC116938825,S,C,148.8610293,66.92275818,107.8918937,1.155609952,0.210493335,5.490007322,4.02E-08,6.95E-06
MSMO1,S,C,659.1879186,378.1652104,518.6765645,0.800066286,0.149071503,5.366996847,8.01E-08,1.36E-05
MYO9A,S,C,702.3177223,1203.024571,952.6711465,-0.776118926,0.145192993,-5.345429632,9.02E-08,1.50E-05
LOC116945217,S,C,41.33892805,104.2848401,72.81188405,-1.328323652,0.250940701,-5.293376674,1.20E-07,1.96E-05
LOC116950277,S,C,903.2612965,478.5818869,690.9215917,0.915107807,0.174153823,5.254595008,1.48E-07,2.38E-05
SLC3A2,S,C,749.0425154,481.4365572,615.2395363,0.637765074,0.122285564,5.215375008,1.83E-07,2.89E-05
LOC116941219,S,C,151.9241133,73.18295405,112.5535337,1.05242559,0.202206078,5.204717895,1.94E-07,3.01E-05
CCDC105,S,C,384.7306442,664.1439165,524.4372803,-0.787036608,0.154045035,-5.109133251,3.24E-07,4.93E-05
LOC116939451,S,C,1392.317644,2102.091138,1747.204391,-0.594121826,0.117139671,-5.071909657,3.94E-07,5.82E-05
LOC116939212,S,C,380.2926731,213.1537161,296.7231946,0.833602845,0.164378653,5.071235389,3.95E-07,5.82E-05
KPNA2,S,C,3586.485204,2262.88524,2924.685222,0.66446407,0.131693539,5.045532805,4.52E-07,6.55E-05
LOC116956013,S,C,67.11022403,136.9485769,102.0294005,-1.026527806,0.211361279,-4.856744867,1.19E-06,0.000170208
LOC116940685,S,C,1001.505966,644.6081389,823.0570522,0.635148228,0.13094606,4.85045697,1.23E-06,0.000172949
LOC116952972,S,C,292.9878544,476.9323889,384.9601217,-0.70199653,0.146480388,-4.792426752,1.65E-06,0.000227796
LOC116951647,S,C,244.4441499,402.5000296,323.4720897,-0.72073519,0.150973734,-4.773911128,1.81E-06,0.000246001
LOC116943922,S,C,71.60172972,25.15668614,48.37920793,1.502292467,0.315219298,4.765864508,1.88E-06,0.000252206
LOC116954032,S,C,134.5828792,246.3029815,190.4429304,-0.86874372,0.182674089,-4.755703028,1.98E-06,0.00026133
KIAA0232,S,C,3021.126972,4852.095595,3936.611284,-0.683542113,0.145026223,-4.713231174,2.44E-06,0.00031753
LOC116951435,S,C,31.55705846,88.51596732,60.03651289,-1.47461631,0.316352256,-4.661311192,3.14E-06,0.000403345
LOC116951932,S,C,902.4102886,1388.889225,1145.649757,-0.621891325,0.133699911,-4.651396716,3.30E-06,0.000417272
BASP1,S,C,463.4275839,806.2070958,634.8173399,-0.797960286,0.171806739,-4.644522625,3.41E-06,0.000423067
CLU,S,C,16.49845127,54.4743786,35.48641494,-1.718749382,0.370195288,-4.642818089,3.44E-06,0.000423067
LOC116937524,S,C,5869.895334,9677.970968,7773.933151,-0.721315395,0.155773229,-4.630547882,3.65E-06,0.000442863
REL,S,C,132.5055698,68.99238569,100.7489777,0.939506679,0.207532131,4.527042019,5.98E-06,0.000716664
LOC116946527,S,C,4631.138301,3174.567113,3902.852707,0.544594873,0.121203761,4.493217615,7.02E-06,0.000829491
LOC116942173,S,C,3410.606663,2373.066634,2891.836649,0.523102621,0.116513292,4.489639002,7.13E-06,0.000832594
LOC116955218,S,C,940.6660324,506.2888708,723.4774516,0.892571257,0.200043216,4.461892168,8.12E-06,0.000935879
BCL10,S,C,126.3856351,61.68266813,94.03415162,1.032430551,0.231529718,4.459170768,8.23E-06,0.000935879
LOC116945237,S,C,21.29341658,2.617889638,11.95565311,3.0352089,0.680897691,4.457657798,8.29E-06,1
NDUFB11,S,C,404.692648,222.2371057,313.4648769,0.862048646,0.193887655,4.446124457,8.74E-06,0.000982095
LOC116940666,S,C,149.8389001,80.99097226,115.4149362,0.888852816,0.200251192,4.438689271,9.05E-06,0.001004084
CENPW,S,C,825.3892946,516.8489251,671.1191098,0.673970192,0.152310915,4.424963183,9.65E-06,0.001057047
LOC116947679,S,C,126.7172951,66.1886344,96.45296474,0.93481504,0.211536046,4.419176111,9.91E-06,0.001072667
NDUFB5,S,C,1536.282267,922.6492016,1229.465734,0.734740084,0.166827423,4.404192505,1.06E-05,0.001135859
CDC123,S,C,954.3308012,602.6610641,778.4959326,0.662008642,0.150406065,4.401475722,1.08E-05,0.001136645
LOC103091705,S,C,8204.233458,5393.043241,6798.63835,0.60513233,0.137640419,4.396472582,1.10E-05,0.001149625
LOC116952378,S,C,274.4183725,444.9668057,359.6925891,-0.695704146,0.158377779,-4.392687844,1.12E-05,0.001156383
LOC116941510,S,C,143.3855991,76.59860679,109.992103,0.902864181,0.206008961,4.382645185,1.17E-05,0.001197252
LOC116941401,S,C,132.612624,66.43362716,99.52312559,0.99225019,0.229352328,4.326314009,1.52E-05,0.001530904
LOC116947680,S,C,218.7770648,119.0633735,168.9202191,0.874757085,0.202605056,4.317548153,1.58E-05,0.001575266
LOC116939549,S,C,143.8898492,70.59648218,107.2431657,1.022069812,0.237484148,4.303739102,1.68E-05,0.001645436
LOC116950483,S,C,210.5412517,125.469041,168.0051464,0.7449057,0.173111061,4.303050862,1.68E-05,0.001645436
LOC103091776,S,C,757.510838,518.4458101,637.9783241,0.546707245,0.127406514,4.291046237,1.78E-05,0.00171829
MRPS22,S,C,547.4461128,324.2941187,435.8701157,0.753414003,0.175852317,4.284356421,1.83E-05,0.001751973
LOC116954582,S,C,2234.978963,1334.365614,1784.672288,0.743600517,0.173981836,4.274012352,1.92E-05,0.001815989
LOC116940820,S,C,1966.300441,1320.197578,1643.249009,0.574174055,0.134850216,4.257865294,2.06E-05,0.00193188
LOC116957858,S,C,168.9479758,301.679796,235.3138859,-0.832975916,0.195756477,-4.255164017,2.09E-05,0.001935194
LRRC17,S,C,40.35164952,91.09997713,65.72581333,-1.166620766,0.27436428,-4.252086916,2.12E-05,0.001941963
LOC116936932,S,C,94.28056849,177.7284159,136.0044922,-0.913915584,0.215063314,-4.24951875,2.14E-05,0.001944518
LOC116951666,S,C,26.90963463,70.19204048,48.55083756,-1.368775102,0.32310194,-4.236356802,2.27E-05,0.002041401
LOC116953920,S,C,835.6107657,1271.735278,1053.673022,-0.606141157,0.143260341,-4.231046436,2.33E-05,0.002069508
LOC116952491,S,C,232.0555889,357.5028081,294.7791985,-0.622414805,0.147657492,-4.215260585,2.49E-05,0.002197957
LOC116940661,S,C,127.7005801,69.85173494,98.77615753,0.872378617,0.207757291,4.199027693,2.68E-05,0.002338659
LOC116957825,S,C,78.90965018,155.332731,117.1211906,-0.978819783,0.234329579,-4.177107257,2.95E-05,0.002550986
LOC116958791,S,C,52.35624934,124.3950578,88.37565359,-1.241768971,0.297574714,-4.172965356,3.01E-05,0.002573083
NDUFB3,S,C,585.3519908,331.7578782,458.5549345,0.817288601,0.196760224,4.15372875,3.27E-05,0.002772952
LOC116946474,S,C,143.5253201,232.4777512,188.0015357,-0.695493197,0.167967808,-4.140633874,3.46E-05,0.002908671
LOC116956760,S,C,36.94241475,84.11798345,60.5301991,-1.184091823,0.286773664,-4.12901173,3.64E-05,0.003029925
LOC116957819,S,C,1753.717567,1207.298145,1480.507856,0.538074772,0.130379213,4.12699816,3.68E-05,0.003029925
TOMM70,S,C,504.5201303,323.0789816,413.7995559,0.641090949,0.155464494,4.123712954,3.73E-05,0.003045547
SEC61B,S,C,1162.275352,735.2390775,948.7572147,0.659559344,0.160861608,4.100166307,4.13E-05,0.003342252
LOC116943818,S,C,3472.494512,2241.655879,2857.075196,0.631044049,0.153992344,4.097892353,4.17E-05,0.003345111
LOC116951563,S,C,102.6216462,177.779678,140.2006621,-0.793224268,0.193787441,-4.093269735,4.25E-05,0.003382334
