"","ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0003735","MF","GO:0003735","structural constituent of ribosome",143,0.509560472883971,2.22925660508635,1.89975807734198e-09,1.22203961701236e-06,1.0361294492794e-06,2849,"tags=52%, list=26%, signal=39%","MRPL36/MRPS22/MRPL37/LOC116945785/MRPS31/MRPL28/MRPS2/MRPS21/MRPS10/RPS8/MRPL11/IMP3/MRPL9/MRPL43/RPL28/RPL23A/MRPL21/RPSA/MRPL33/METTL17/RPL27A/LOC116947409/LOC116951528/RPL35/RPLP1/MRPS18C/RPL29/RPL10A/RPL36/RPL4/MRPL30/RPS20/MRPL55/RPL15/MRPL12/MRPS18B/RPLP0/RPL18A/RPS4X/MRPL54/RPL12/RPL32/MRPL13/MRPS15/DAP3/LOC116941435/RPS11/MRPS25/MRPS9/RPL17/MRPS5/LOC116958118/RPS3A/RPL5/RPS24/MRPS16/RPS19/RPL30/MRPS30/RPS7/RPL24/MRPS18A/SRBD1/LOC116939580/MRPL35/MRPL18/LOC116950646/RPL8/RPS27A/LOC116944402/RPLP2/RPL35A/MRPS11/RPL21"
"GO:0005840","CC","GO:0005840","ribosome",153,0.502098140625273,2.19852189961384,3.52172800291747e-09,1.22203961701236e-06,1.0361294492794e-06,2794,"tags=49%, list=25%, signal=37%","MRPL36/MRPS22/MRPL37/LOC116945785/MRPS31/MRPL28/CHCHD1/MRPS2/MRPS21/MRPL40/MRPS10/RPS8/MRPL11/IMP3/MRPL9/MRPL43/RPL28/RPL23A/MRPL21/RPSA/MRPL33/METTL17/RPL27A/LOC116947409/LOC116951528/RPL35/RPLP1/MRPS18C/RPL29/RPL10A/RPL36/RPL4/MRPL30/RPS20/MRPL55/RPL15/MRPL12/MRPS18B/RPLP0/RPL18A/MRPL42/RPS4X/MRPL54/RPL12/RPL32/MRPL13/MRPS15/DAP3/LOC116941435/RPS11/MRPS9/RPL17/MRPS5/LOC116958118/RPS3A/HSPA14/RPL5/RPS24/MRPS16/RPS19/RPL30/MRPS30/RPS7/RPL24/MRPS18A/LOC116939580/MRPL35/MRPL18/LOC116950646/RPL8/RPS27A/LOC116944402/RPLP2/RPL35A/MRPS11"
"GO:0044391","CC","GO:0044391","ribosomal subunit",124,0.513328506515959,2.20342463753562,5.83075670147753e-08,1.34884838360847e-05,1.14364666530735e-05,3611,"tags=63%, list=32%, signal=43%","MRPL36/MRPS22/LOC116945785/MRPS31/MRPL28/MRPS2/MRPL40/MRPS10/RPS8/MRPL11/IMP3/MRPL43/RPL28/RPL23A/MRPL21/RPSA/METTL17/RPL27A/LOC116947409/RPL35/RPLP1/MRPS18C/RPL29/RPL10A/RPL36/RPL4/MRPL30/RPS20/MRPL55/RPL15/MRPL12/RPLP0/RPL18A/MRPL42/RPS4X/MRPL54/RPL12/RPL32/MRPL13/DAP3/LOC116941435/RPS11/MRPS9/RPL17/LOC116958118/RPL5/MRPS16/RPS19/RPL30/MRPS30/RPS7/RPL24/MRPS18A/LOC116939580/LOC116950646/RPL8/LOC116944402/RPLP2/RPL35A/MRPS11/RPL21/RPL23/RPL14/MRPL38/RPL7/MRPS35/MRPL15/RPL13/RPS15/RPS18/RPL13A/RPS16/LOC103091720/MRPS28/RPS10/RPL27/RPS5/RPL37"
"GO:0022626","CC","GO:0022626","cytosolic ribosome",72,0.552562183462809,2.14779597665284,1.91629440396108e-06,0.000332477079087248,0.000281896992582696,3611,"tags=64%, list=32%, signal=43%","LOC116945785/RPS8/RPL28/RPL23A/RPSA/RPL27A/LOC116947409/RPL35/RPLP1/RPL29/RPL36/RPL4/RPS20/RPL15/RPLP0/RPL18A/RPS4X/RPL12/RPL32/LOC116941435/RPS11/RPL17/LOC116958118/RPL5/RPS19/RPL30/RPS7/RPL24/LOC116939580/LOC116950646/RPL8/RPLP2/RPL35A/RPL21/RPL23/RPL14/RPL7/RPL13/RPS15/RPL13A/RPS16/LOC103091720/RPS10/RPL27/RPS5/RPL37"
"GO:0005198","MF","GO:0005198","structural molecule activity",292,0.350962861629677,1.68775448327921,6.07700136194702e-06,0.000843487789038246,0.000715167107648081,2457,"tags=35%, list=22%, signal=28%","LOC116939950/LOC116947679/LOC116946906/LOC116947680/MRPL36/LOC116954703/MRPS22/MRPL37/LOC116949299/LOC116945785/MRPS31/LOC116946472/MRPL28/LOC116943764/MRPS2/MRPS21/LOC116942282/LOC116940820/LOC116937310/MRPS10/RPS8/MRPL11/IMP3/MRPL9/LOC116947507/MRPL43/RPL28/LOC116947677/RPL23A/MRPL21/LOC116947676/RPSA/MRPL33/PHF10/LOC116938693/LOC116944066/METTL17/RPL27A/LOC116939371/LOC116947409/LOC116951528/LOC116941632/RPL35/LOC116953154/RPLP1/MRPS18C/RPL29/RPL10A/RPL36/RPL4/LOC116939144/LOC116950224/MRPL30/COPE/RPS20/MRPL55/LOC116947506/RPL15/MRPL12/MRPS18B/LOC116945746/RPLP0/RPL18A/LOC116948606/LOC116957093/RPS4X/MRPL54/RPL12/RPL32/MRPL13/NUP155/MRPS15/NUP62/DAP3/LOC116941435/LOC116945884/RPS11/MRPS25/LOC116947682/MRPS9/RPL17/LOC116954710/MRPS5/LOC116958118/RPS3A/RPL5/LOC116940419/RPS24/MRPS16/RPS19/RPL30/COPB1/LOC116940866/CRYBA2/MRPS30/PSMD11/PSMD13/RPS7/RPL24/MRPS18A/SRBD1/LOC116941127/LOC116939580"
"GO:0006412","BP","GO:0006412","translation",273,0.34261284883087,1.61802594639483,1.76354438398129e-05,0.00203983300413836,0.00172951107130797,2794,"tags=39%, list=25%, signal=30%","WARS2/MRPL36/MRPL37/LOC116945785/CHCHD1/MRPS2/MRPS21/RARS1/EIF3M/MRPS10/RPS8/MRPL11/MRPL9/MRPL43/RPL28/RPL23A/RPSA/MRPL33/METTL17/RPL27A/EIF3E/LOC116953623/LOC116947409/LOC116951528/RPL35/RACK1/RPLP1/MRPS18C/RPL29/RPL10A/EIF3I/RPL36/RPL4/EIF3K/MRPL30/LOC116957427/RPS20/EIF5A/MRPL55/LOC116952939/RPL15/MRPL12/LOC116946621/MRPS18B/EIF5/EIF2B2/POLR2G/FARSB/EIF2B3/LOC116938098/CNOT10/RPLP0/RPL18A/RWDD1/RPS4X/RPL12/RPL32/ZAR1L/LTN1/MRPL13/EEF1G/EIF3L/MRPS15/LOC116941435/LOC116949273/RPS11/MRPS9/LOC116941566/RPL17/MCTS1/HARS1/MRPS5/LOC116940993/LOC116958118/RPS3A/RPL5/RPS24/MRPS16/RPS19/EIF2AK4/GUF1/MTIF3/EEF2/QARS1/CARS2/FARS2/MRPS30/DENR/CNOT11/RPS7/RPL24/MRPS18A/SRBD1/LOC116939580/LOC116952511/MRPL35/SARS1/MRPL18/LOC116950646/RPL8/RPS27A/FTSJ1/MARS1/LOC116944402/RPLP2/RPL35A/MRPS11"
"GO:0015934","CC","GO:0015934","large ribosomal subunit",75,0.509285258031923,1.99593304162412,2.49908145069783e-05,0.00247766075254899,0.00210073162547382,3289,"tags=61%, list=30%, signal=44%","MRPL36/LOC116945785/MRPL28/MRPL40/MRPL11/MRPL43/RPL28/RPL23A/MRPL21/RPL27A/LOC116947409/RPL35/RPLP1/RPL29/RPL10A/RPL36/RPL4/MRPL30/MRPL55/RPL15/MRPL12/RPLP0/RPL18A/MRPL42/MRPL54/RPL12/RPL32/MRPL13/LOC116941435/RPL17/LOC116958118/RPL5/RPL30/MRPS30/RPL24/RPL8/LOC116944402/RPLP2/RPL35A/RPL21/RPL23/RPL14/MRPL38/RPL7/MRPL15/RPL13"
"GO:1990904","CC","GO:1990904","ribonucleoprotein complex",376,0.307013675304823,1.51821784070444,6.04517574391006e-05,0.00524418995784197,0.00444638584321806,3611,"tags=48%, list=32%, signal=33%","ESRP1/MRPL36/MRPS22/LSM8/LOC116945785/MRPS31/MRPL28/MRPS2/MRPL40/MRPS10/RPS8/MRPL11/IMP3/NOC4L/MRPL43/RPL28/LOC116953552/RRP36/RPL23A/MRPL21/RPSA/PPIL1/METTL17/RPL27A/SNRPE/RPP30/LOC116947409/BCAS2/RPL35/CELF2/RPLP1/MRPS18C/SNRPC/RPL29/RPL10A/DKC1/RPL36/RPL4/NAF1/LOC116942824/MRPL30/BOP1/LOC116947213/RPS20/MRPL55/RPL15/MRPL12/UTP18/SF3B5/LOC116951627/LSM6/RPLP0/RPL18A/MRPL42/WDR46/RPS4X/MRPL54/RPL12/RPL32/WBP11/SF3B4/RRP15/LUC7L3/MRPL13/YJU2/KRR1/WDR12/DAP3/LOC116941435/RPS11/SRP19/NSA2/PABPC1/MRPS9/FTSJ3/RPL17/BUD31/LOC116940993/LOC116958118/LOC116946109/RIOK1/ZNF622/RPL5/UTP11/RRP9/MRPS16/RNPC3/RPS19/RPL30/LOC116937608/RBMX2/EEF2/NOP14/KRI1/POP4/NOP58/MRPS30/SNRPD1/LOC116953985/RPS7/NOP56/RPL24/MRPS18A/CWF19L1/IMP4/LOC116940948/LOC116939580/NGDN/NOP9/PLRG1/SF3A1/RBM25/DHX16/EBNA1BP2/DDX52/CTNNBL1/DAW1/SNRPD3/LOC116950646/RPL8/NHP2/ZNF830/LOC116944402/RPLP2/RPL35A/CWC25/MRPS11/XAB2/UTP20/RPL21/DDX23/PPIL2/LSM10/RPL23/RBM17/PIH1D1/SNRPB/CDC40/LOC116952608/PRPF8/SND1/EIF2S1/PRPF18/RPL14/UTP4/LOC116948122/MRPL38/LOC116945796/RPL7/SNW1/CMSS1/RIOK2/SF3B6/MRPS35/RRS1/CRNKL1/RIOK3/LOC116943843/MRPL15/PUF60/RPL13/RPS15/CACTIN/RPS18/EIF3H/NOL6/EFTUD2/RPL13A/RPP40/RPS16/LOC103091720/MRPS28/NOL10/RPS10/SRP14/LOC116949584/RPL27/RPS5/RPL37"
"GO:0006082","BP","GO:0006082","organic acid metabolic process",258,0.33274375236901,1.56543597347295,0.000139131584140924,0.0107285910437557,0.0090964392438335,2378,"tags=34%, list=21%, signal=27%","PSAT1/GLUL/LOC116940299/PTGR1/LOC116940380/LOC116953525/LOC116948549/LOC116950104/AGXT/LOC116949701/LOC116940685/LOC116956125/LOC116938187/LOC116939020/LOC116949609/LOC103091776/HPDL/LOC116954988/LOC116955591/MTHFR/LOC116939843/GOT2/RGN/ALDH18A1/IDH2/UROC1/LOC116957842/QDPR/UPB1/FH/MLYCD/MDH1/NAAA/IDH3G/HYI/NIT2/ABAT/ME2/LOC116940182/ASL/LOC116946993/IDH1/ACSM3/ADI1/LOC116955634/PHGDH/CRYL1/SHMT1/PYCR3/TIGAR/LOC116955550/PSPH/DECR2/LOC116937787/ASS1/LOC103091799/LOC116956315/LOC116939967/MTAP/NDUFAB1/LOC116939084/LOC116950746/LOC116951662/CDO1/LOC116941058/LOC116940531/PDHA1/PC/TPI1/LOC116954878/ACADM/LOC116947934/SEPHS1/GOT1/LOC116955742/LIAS/ALDH5A1/FAH/ALOX5/MCCC2/SLC7A7/SDHAF3/PIPOX/LOC116949288/ALDH4A1/CS/LOC116943692"
"GO:0051726","BP","GO:0051726","regulation of cell cycle",157,0.374444627569929,1.65528684800239,0.000200497107714375,0.0139144992753776,0.0117976719170879,2119,"tags=23%, list=19%, signal=19%","INSM1/LOC116948899/LOC116948823/LOC116944959/LOC116943922/LOC116950778/LOC116947619/LOC116945655/LOC116940893/LOC116948425/BORA/RMI2/CCNB2/LOC116942917/MAD1L1/LOC116950422/LOC116941398/LOC116947213/BUB3/RANBP1/LOC116954042/CDK5RAP1/INTS13/LOC116946568/LOC116957595/SPICE1/LOC116941237/PLK1/LOC116957996/MNAT1/LOC116944117/LOC116954153/TSC2/CDK5RAP3/LOC116947166/EIF2AK4"
"GO:0051082","MF","GO:0051082","unfolded protein binding",52,0.515396412055669,1.9109330648574,0.000581687073473356,0.0175517751735004,0.0148816052206685,2261,"tags=37%, list=20%, signal=29%","LOC116947664/LOC116937253/HSP90B1/LOC116943427/HSPA5/LOC116952025/HSPA8/LOC116957459/LOC116942031/NUDC/CCT8/LOC116955070/LOC116948557/LOC116949549/LOC116939777/DNAJA3/HSPA14/CCT3/PDRG1"
"GO:0005759","CC","GO:0005759","mitochondrial matrix",86,0.4541070631909,1.84354506673581,0.000561946216067839,0.0175517751735004,0.0148816052206685,2379,"tags=37%, list=21%, signal=29%","WARS2/MRPL36/MRPS22/MRPS31/MRPL28/CHCHD1/MRPS2/MRPL40/MRPS10/MRPL11/MRPL43/POLDIP2/MRPL21/METTL17/MLYCD/MRPS18C/ACSM3/MRPL55/MRPL12/TEFM/MRPL42/MRPL54/MRPL13/DAP3/TBRG4/MRPS9/LOC116955595/FASTK/MRPS16/MRPS30/CS/MRPS18A"
"GO:0006575","BP","GO:0006575","cellular modified amino acid metabolic process",63,0.482802123815772,1.82614718201283,0.00057983446162025,0.0175517751735004,0.0148816052206685,1566,"tags=37%, list=14%, signal=32%","LOC116943350/LOC116953902/LOC116953525/LOC116941688/LOC116943698/LOC116950142/LOC116943255/LOC116953545/GCLC/MTHFR/LOC116939438/LOC116941273/HPGDS/LOC116944502/GCLM/LOC116947235/SHMT1/GSTK1/LOC116937787/ASS1/LOC116956315/LOC116946664/LOC116944801"
"GO:0016053","BP","GO:0016053","organic acid biosynthetic process",73,0.45814979171344,1.785036758715,0.000537147818791935,0.0175517751735004,0.0148816052206685,1541,"tags=34%, list=14%, signal=30%","PSAT1/GLUL/LOC116940299/LOC116953525/LOC116948549/AGXT/LOC116956125/MTHFR/RGN/ALDH18A1/UPB1/MLYCD/LOC116940182/ASL/ACSM3/ADI1/LOC116955634/PHGDH/SHMT1/PYCR3/PSPH/ASS1/LOC116956315/MTAP/NDUFAB1"
"GO:0046394","BP","GO:0046394","carboxylic acid biosynthetic process",73,0.45814979171344,1.785036758715,0.000537147818791935,0.0175517751735004,0.0148816052206685,1541,"tags=34%, list=14%, signal=30%","PSAT1/GLUL/LOC116940299/LOC116953525/LOC116948549/AGXT/LOC116956125/MTHFR/RGN/ALDH18A1/UPB1/MLYCD/LOC116940182/ASL/ACSM3/ADI1/LOC116955634/PHGDH/SHMT1/PYCR3/PSPH/ASS1/LOC116956315/MTAP/NDUFAB1"
"GO:0098798","CC","GO:0098798","mitochondrial protein-containing complex",81,0.445358767597664,1.77932417553619,0.000552928852550018,0.0175517751735004,0.0148816052206685,2409,"tags=43%, list=22%, signal=34%","MRPL36/MRPS22/MRPS31/MRPL28/MRPS2/MRPL40/PAM16/MRPS10/MRPL11/MRPL43/MRPL21/LOC116937038/METTL17/ROMO1/MRPS18C/MRPL55/MRPL12/MRPL42/MRPL54/MTX2/MRPL13/TOMM6/MICU3/DAP3/MRPS9/SMDT1/MICOS10/LOC116954989/MRPS16/LOC116939672/TIMM21/POLRMT/MRPS30/MRPS18A/IMMP2L"
"GO:0009968","BP","GO:0009968","negative regulation of signal transduction",92,0.431604281346955,1.76840859540141,0.000543667682083626,0.0175517751735004,0.0148816052206685,468,"tags=11%, list=4%, signal=10%","LOC116956950/DUSP10/DACT1/LOC116945244/DUSP1/LOC116950694/NME5/LOC116941981/LOC116941982/TMBIM6"
"GO:0010648","BP","GO:0010648","negative regulation of cell communication",94,0.425029220301238,1.73426325514469,0.000408220057191386,0.0175517751735004,0.0148816052206685,468,"tags=11%, list=4%, signal=10%","LOC116956950/DUSP10/DACT1/LOC116945244/DUSP1/LOC116950694/NME5/LOC116941981/LOC116941982/TMBIM6"
